"UID","Xsugg","Ysugg","Type","Unit","Walker","PassGrid","Section","SherdNo","VesselPart","PartType","VesselType","OtherType","Thickness","Coarseness","MaxSize","Feature","Comments","FabricType","MNLN","FNEB1","EB2","LPrePal","FPal","SPal","TPal","PPalPG","Geom","Arch","Class","Hell","ERom","MRom","LRom","EByz","MByz","EVen","MVen","LVen","Recent","Other"
"0075-7135-S-37",710076.10,3967135.20,"grid","0075-7135",59,37,"S",37,"R","RR","JCon","Lamboglia 2","M","F",4.10,"Y","Lamboglia 2 amphora, rim. Quite fine and fairly soft reddish yellow clay (5YR 5-6/6) with scarce small inclusions and voids.","Adriatic amphora fabric",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
"0095-7135-V-1",710098.20,3967133.60,"grid","0095-7135",29,37,"V",1,"B","U","U","U","M","C",2.40,"N",,"GRO(b?)",0,70,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0105-7155-S-1",710106.10,3967152.20,"grid","0105-7155",28,37,"S",1,"Ba","BF","U","U","Tk","C",5.10,"Y","Base from medium to large sized vessel","SAT",0,0,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0115-7265-V-1",710111.30,3967265.80,"grid","0115-7265",21,51,"V",1,"B","U","U","U","M","C",1.90,"N",,"GRO(b?)",0,70,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0125-7115-S-1",710111.10,3967121.20,"grid","0115-7125",49,37,"S",1,"L?","U","CPot?","U","M","C",6.20,"Y","Highly abraded small ovoid leg","MUT",0,0,10,10,30,30,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0125-7255-S-2",710128.40,3967259.20,"grid","0125-7255",5,51,"S",2,"Ba","U","U","U","M","C",5.00,"Y",,"GRO(b?)",0,70,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0125-7255-S-3",710128.60,3967257.60,"grid","0125-7255",5,51,"S",3,"R","U","U","U","M","C",4.80,"Y",,"GRO(b?)",0,70,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0125-7255-S-4",710124.50,3967251.90,"grid","0125-7255",5,51,"S",4,"R?","U","U","U","M","C",2.70,"Y",,"GRO(b?)",0,70,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0125-7255-S-5",710126.30,3967259.20,"grid","0125-7255",5,51,"S",5,"B","U","U","U","M","C",4.70,"Y","Perhaps one or more raised plastic bands?","GRO(b?)",0,70,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0125-7255-V-1",710120.90,3967251.90,"grid","0125-7255",5,51,"V",1,"H","U","U","U","Tk","C",6.40,"Y","Rounded ovoid in section. Fine sand temper with white chert and shale inclusions, close in appearance to Kytheran SAT but not?","OUT",0,0,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0125-7255-V-2",710129.20,3967250.40,"grid","0125-7255",101,51,"V",2,"B","U","U","U","M","C",2.10,"N",,"GRO(b?)",0,70,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0125-7255-V-3",710120.20,3967257.40,"grid","0125-7255",5,51,"V",3,"R","U","U","U","M","C",3.00,"Y",,"GRO(b?)",0,70,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0125-7255-V-4",710127.20,3967255.70,"grid","0125-7255",5,51,"V",4,"B","U","U","U","M","C",2.00,"N","Fine sand temper with white chert and shale inclusions","OUT",0,0,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0125-7255-V-5",710120.80,3967254.00,"grid","0125-7255",5,51,"V",5,"B","U","U","U","M","C",1.80,"N",,"GRO(b?)",0,70,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0125-7255-V-6",710122.30,3967251.00,"grid","0125-7255",5,51,"V",6,"B","U","U","U","M","C",1.40,"N",,"GRO(b?)",0,70,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0125-7255-V-7",710128.90,3967258.40,"grid","0125-7255",101,51,"V",7,"B","U","U","U","M","C",3.00,"N",,"GRO(b?)",0,70,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0125-7255-V-8",710125.90,3967259.90,"grid","0125-7255",5,51,"V",8,"H","U","U","U","M","C",5.50,"Y","Round in section","SAT(d?)",0,0,0,40,40,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0135-7265-V-1",710132.60,3967268.90,"grid","0135-7265",14,51,"V",1,"R","U","U","U","M","C",4.00,"Y","Slipped and burnished; like Kytheran chert fabric","GRO(b?)",0,70,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10000-2-1-95-1",706780.90,3971487.60,"tract","10000",2,1,"95",1,"H","U","U","U","M","C",6.00,"Y","Ovoid section","SAT",0,0,0,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10000-60-1-65-1",706806.40,3971445.20,"tract","10000",60,1,"65",1,"B","U","JCon","LRA 2?","M","M",5.20,"Y","LRA 2? fine ridging on exterior","LRA 2 fabric",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
"10001-2-1-15-1",706757.00,3971488.70,"tract","10001",2,1,"15",1,"R","U","CPot","Vroom CW2A","M","F",5.70,"Y","Black glaze on exterior and interior","Micaceous Siphnian cooking pot fabric",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
"10001-2-1-15-2",706750.80,3971487.80,"tract","10001",2,1,"15",2,"Ba","U","U","U","M","M",3.30,"Y","Interior glaze; exterior blackened","Micaceous cooking pot fabric",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
"10001-2-1-45-1",706720.80,3971487.40,"tract","10001",2,1,"45",1,"R","U","CPot","Casserole","M","C",6.50,"Y","Cooking ware; rim lip folds outwards. Quartz/calcite, mudstone and mica.","OUT(13)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,50
"10001-2-1-45-2",706720.60,3971488.30,"tract","10001",2,1,"45",2,"H","HV","JCon","U","M","C",5.50,"Y","Pushed through handle of ?jug","MUT",0,0,0,0,30,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10001-2-1-85-1",706666.20,3971488.00,"tract","10001",2,1,"85",1,"B","U","JCon","LRA 2?","M","M",3.40,"Y","LRA 2? fine ridging on exterior","LRA 2 fabric",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
"10001-2-1-85-2",706669.30,3971487.20,"tract","10001",2,1,"85",2,"B","U","JCon","LRA 2?","M","M",2.60,"Y","LRA 2? fine ridging on exterior","LRA 2 fabric",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
"10001-2-1-95-1",706658.40,3971488.30,"tract","10001",2,1,"95",1,"H","U","U","U","M","C",3.10,"Y","Ovoid small handle","SAT",0,0,0,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10001-42-1-25-1",706747.00,3971430.60,"tract","10001",42,1,"25",1,"H","HV","JCon","Amphora","M","M",4.60,"Y",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,90
"10001-44-1-5-1",706766.60,3971459.10,"tract","10001",44,1,"5",1,"H","HH","U","U","M","C",7.40,"Y","Horizontal handle from a medium- to largesized vessel.(Petrography Sample ASP 173).","MIC",0,0,70,0,0,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10001-44-1-5-2",706765.60,3971459.30,"tract","10001",44,1,"5",2,"H","U","U","U","M","C",4.60,"Y","Mottled firing; round in section","SAT",0,0,0,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10001-44-1-5-3",706764.50,3971458.90,"tract","10001",44,1,"5",3,"B","U","JCon","LRA 1?","M","F",5.70,"Y","LRA 1? Wide horizontal ridges/ribbing on exterior","LRA 1 fabric?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
"10001-48-1-15-1",706749.40,3971473.90,"tract","10001",48,1,"15",1,"B","U","U","U","Tn","M",4.10,"Y","Carinated fragment. Coarseware. Orange fine fabric (some calcite inclusions).",,0,0,0,0,0,0,0,0,0,0,0,0,25,25,50,0,0,0,0,0,0,0
"10001-48-1-15-2",706748.40,3971473.70,"tract","10001",48,1,"15",2,"B","U","LOpe","Quercia RS","Tn","F",4.10,"Y","Regional RS; Red slip interior and exterior; exterior incised lines. Pink fine fabric.","RS pink fine fabric",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
"10001-48-1-15-3",706752.30,3971474.10,"tract","10001",48,1,"15",3,"Ba","U","JCon","LRA 2","M","M",4.80,"Y","LRA 2","LRA 2 fabric",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
"10001-48-1-45-1",706682.70,3971474.80,"tract","10001",48,1,"45",1,"H","HH","Pith","U","Tk","C",10.10,"Y","Ovoid thick strap pushed through handle; pithos?","MUT",0,0,10,10,30,30,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10001-48-1-45-2",706693.80,3971474.80,"tract","10001",48,1,"45",2,"H","HH","U","U","M","M",5.00,"Y","Round in section; medium sized vessel","CAL(b-c?)",0,5,30,30,25,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10001-48-1-45-3",706694.30,3971473.70,"tract","10001",48,1,"45",3,"H","U","JCon","Amphora","M","F",6.70,"Y",,,0,0,0,0,0,0,0,0,0,0,0,0,25,25,50,0,0,0,0,0,0,0
"10001-60-1-15-1",706757.80,3971444.50,"tract","10001",60,1,"15",1,"B","U","U","U","Tn","M",5.00,"Y",,,0,0,0,0,0,0,0,0,0,0,0,0,20,20,10,0,0,0,0,0,0,50
"10001-60-1-15-2",706753.00,3971445.60,"tract","10001",60,1,"15",2,"B","Sho","JCon","Amphora","M","F",7.90,"Y","Shoulder fragment. Neck joining body and rim?",,0,0,0,0,0,0,0,0,0,0,0,0,35,35,30,0,0,0,0,0,0,0
"10001-60-1-25-1",706747.10,3971444.90,"tract","10001",60,1,"25",1,"H","HV","JCon","LRA 2?","M","M",11.00,"Y","LRA 2? Attached to body; 4cm thick handle","LRA 2 fabric?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
"10001-60-1-5-1",706766.30,3971444.70,"tract","10001",60,1,"5",1,"B","U","JCon","LRA","Tn","F",3.40,"Y","LRA; wide horizontal ridges/ribbing on exterior","LRA fabric",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
"10001-60-1-5-2",706772.30,3971445.20,"tract","10001",60,1,"5",2,"B","U","JCon","LRA 2?","M","F",4.20,"Y","LRA 2? finely ridged on exterior","LRA 2 fabric?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
"10001-60-1-5-3",706761.90,3971445.50,"tract","10001",60,1,"5",3,"B","U","JCon","LRA 1?","M","F",4.50,"Y","LRA 1? finely ridged on exterior","LRA 2 fabric?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
"10002-2-1-25-1",706774.80,3971414.90,"tract","10002",2,1,"25",1,"R","U","CPot","Vroom CW2A","M","M",3.60,"Y","Slipped/polished interior; exterior begins combing and black slip","Micaceous Siphnian cooking pot fabric",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
"10002-2-1-35-1",706780.50,3971414.00,"tract","10002",2,1,"35",1,"R","RR","JCon","Amphora","Tk","M",7.20,"Y",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
"10002-44-1-5-1",706768.20,3971379.00,"tract","10002",44,1,"5",1,"B","U","JCon","LRA","M","M",3.50,"Y","LRA; finely ridged on exterior","LRA 1 fabric",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
"10002-44-1-5-2",706766.20,3971379.80,"tract","10002",44,1,"5",2,"B","U","JCon","LRA 1","M","M",2.70,"Y","LRA 1; finely ridged on exterior. Pink fine fabric.",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
"10002-44-1-5-3",706771.20,3971379.90,"tract","10002",44,1,"5",3,"R","U","CPot","U","Tn","M",4.10,"Y","Cooking ware; Groove on top; lip for cover? Quartz/calcite, mudstone and mica.","OUT(13)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,50
"10002-44-1-5-4",706767.20,3971379.40,"tract","10002",44,1,"5",4,"H","U","LOpe","Quercia RS","M","F",4.80,"Y","Regional RS; Wide horizontal ridges/ribbing on exterior",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
"10002-44-1-75-1",706818.00,3971378.20,"tract","10002",44,1,"75",1,"B","U","JCon","LRA 2","M","M",4.60,"Y","LRA 2; finely ridged on exterior","LRA 2 fabric?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
"10002-44-2-25-1",706781.20,3971379.80,"tract","10002",44,2,"25",1,"B","U","JCon","LRA 2?","M","M",6.20,"Y","LRA 2?; finely ridged on exterior",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
"10002-48-1-35-1",706785.40,3971397.40,"tract","10002",48,1,"35",1,"B","U","JCon","LRA 2?","M","M",4.00,"Y","LRA 2? finely ridged on exterior","LRA fabric",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
"10002-48-1-35-2",706784.30,3971397.20,"tract","10002",48,1,"35",2,"B","U","JCon","LRA 3","M","F",7.00,"Y","LRA 3 Wide horizontal ridges/ribbing on exterior","LRA 3 fabric",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
"10002-48-1-35-3",706786.70,3971397.80,"tract","10002",48,1,"35",3,"H","HV","JCon","LRA 2?","M","F",10.20,"Y","LRA 2?","LRA fabric",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
"10002-48-1-5-1",706762.30,3971396.80,"tract","10002",48,1,"5",1,"B","U","LOpe?","Quercia RS","M","F",2.90,"Y","Regional Sigillata; Unknown part. Red slip on interior","RS pink fine fabric",0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0,0,0,0,0,0,0
"10002-48-1-5-2",706765.90,3971395.90,"tract","10002",48,1,"5",2,"B","U","JCon","LRA?","Tk","F",3.70,"Y","LRA? Wide horizontal ridges/ribbing on exterior","LRA fabric?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
"10002-48-1-5-3",706764.90,3971396.00,"tract","10002",48,1,"5",3,"R","U","U","Lid","M","F",5.20,"Y","Coarseware. Medium fine coarseware fabric (some calcite, clay 5 yr 6/8).",,0,0,0,0,0,0,0,0,0,0,0,0,25,25,50,0,0,0,0,0,0,0
"10002-48-1-5-4",706766.30,3971396.30,"tract","10002",48,1,"5",4,"B","U","JCon","LRA?","Tn","F",5.10,"Y","LRA? Ribbing on exterior","LRA fabric?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
"10004-44-1-95-1",706727.80,3971253.80,"tract","10004",44,1,"95",1,"B","U","LOpe","Vroom CW18C","M","F",3.80,"Y","Interior glaze",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
"10004-48-1-95-1",706725.80,3971285.80,"tract","10004",48,1,"95",1,"B","U","JCon","LRA 1","M","F",4.80,"Y","LRA 1; Wide horizontal ridges/ribbing on exterior (very shallow)","LRA 1 fabric",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
"10004-48-1-95-2",706725.30,3971285.30,"tract","10004",48,1,"95",2,"B","U","JCon","Amphora","M","M",4.60,"Y","Wide horizontal ridges/ribbing on exterior","LRA fabric?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
"10005-48-1-5-1",706714.80,3971285.80,"tract","10005",48,1,"5",1,"B","U","JCon","LRA 2","M","F",3.30,"Y","LRA 2; finely ridged on exterior","LRA 2 fabric",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
"10005-48-1-5-2",706713.60,3971284.70,"tract","10005",48,1,"5",2,"B","U","JCon","LRA 2","M","F",3.60,"Y","LRA 2; finely ridged on exterior","LRA 2 fabric",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
"10005-48-1-5-3",706719.90,3971286.30,"tract","10005",48,1,"5",3,"B","U","JCon","LRA 2","M","F",2.30,"Y","LRA 2; finely ridged on exterior","LRA 2 fabric",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
"10005-48-1-5-4",706714.80,3971285.40,"tract","10005",48,1,"5",4,"B","U","JCon","LRA 2","M","M",4.50,"Y","LRA 2; finely ridged on exterior","LRA 2 fabric",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
"10005-48-1-5-5",706717.50,3971284.60,"tract","10005",48,1,"5",5,"Ba?","U","U","U","M","F",3.20,"Y",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
"10005-60-1-65-1",706661.20,3971270.00,"tract","10005",60,1,"65",1,"B","U","JCon","Amphora","M","F",8.60,"Y","Wide horizontal ridges/ribbing on exterior",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,50
"10005-60-1-65-2",706662.70,3971269.80,"tract","10005",60,1,"65",2,"B","U","JCon","Amphora","M","F",6.80,"Y","Shallow grooves on exterior",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,50
"10011-2-1-85-1",706682.10,3971211.00,"tract","10011",2,1,"85",1,"H","HV","JCon","Amphora","M","F",5.40,"Y",,"LRA fabric",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
"10011-2-1-95-1",706697.40,3971210.50,"tract","10011",2,1,"95",1,"B","Sho","JCon","LRA","M","F",5.30,"Y","LRA; wide horizontal shallow ridges/grooves on exterior","LRA fabric",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
"10011-2-1-95-2",706694.10,3971210.50,"tract","10011",2,1,"95",2,"Ba","U","U","U","M","M",4.50,"Y","Coarseware",,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,0,0,0,70
"10011-60-1-65-1",706659.30,3971224.80,"tract","10011",60,1,"65",1,"B","U","JCon","LRA 2","M","F",3.20,"Y","LRA 2; finely ridged on exterior","LRA 2 fabric",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
"10011-60-1-65-2",706668.00,3971224.20,"tract","10011",60,1,"65",2,"H","HV","JCon","LRA 1-2?","M","M",6.30,"Y","LRA 1-2?","LRA 1-2 fabric",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
"10011-60-1-65-3",706662.10,3971223.40,"tract","10011",60,1,"65",3,"H","HV","JCon","Jug","M","F",8.80,"Y","Groove down middle",,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0,0,0,0,0,0,0
"10011-60-1-75-1",706669.80,3971223.60,"tract","10011",60,1,"75",1,"H","HV","JCon","LRA 2?","M","F",5.50,"Y","LRA 2?","LRA 2 fabric?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
"10012-2-1-15-1",706720.30,3971210.10,"tract","10012",2,1,"15",1,"B","U","JCon","LRA 2?","M","M",4.10,"Y","LRA 2? finely ridged on exterior","LRA 2 fabric",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
"10012-2-1-15-2",706713.90,3971209.50,"tract","10012",2,1,"15",2,"R","U","JCon","LRA 1-2?","Tk","M",4.90,"Y","LRA 1-2?; Rounded top","LRA 1-2 fabric",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
"10012-2-1-15-3",706720.40,3971210.20,"tract","10012",2,1,"15",3,"H","HV","JCon","LRA 1-2?","M","F",8.70,"Y","LRA 1-2?","LRA 1-2 fabric",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
"10012-2-1-25-1",706729.90,3971209.40,"tract","10012",2,1,"25",1,"B","U","JCon","LRA 2?","M","F",3.10,"Y","LRA 2?; Finely ridged on exterior","LRA 2 fabric",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
"10012-2-1-25-2",706722.90,3971209.40,"tract","10012",2,1,"25",2,"Ba","BF","Clo","U","M","M",5.00,"Y","Coarseware; Flat bottomed",,0,0,0,0,0,0,0,0,0,0,0,0,25,25,50,0,0,0,0,0,0,0
"10012-2-1-45-1",706746.30,3971209.50,"tract","10012",2,1,"45",1,"B","U","JCon","LRA 2","M","M",7.70,"Y","LRA 2; finely ridged on exterior","LRA 2 fabric?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
"10012-42-1-55-1",706761.90,3971181.50,"tract","10012",42,1,"55",1,"H","HV","JCon","LRA 1?","M","M",8.10,"Y","LRA 1?; Attached to body; fluting","LRA 1 fabric",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
"10012-44-1-5-1",706707.10,3971238.90,"tract","10012",44,1,"5",1,"B","U","JCon","LRA 2","M","M",4.50,"Y","LRA 2; exterior combing","LRA 2 fabric",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
"10012-44-1-5-2",706710.10,3971239.60,"tract","10012",44,1,"5",2,"B","U","U","U","Tn","F",4.10,"Y","Wide horizontal ridges/ribbing on exterior; neck? Micaceous fabric",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,80
"10012-44-1-5-3",706703.20,3971238.80,"tract","10012",44,1,"5",3,"H?","U","CPot","U","M","M",5.00,"Y","Cooking ware",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,80
"10012-44-1-85-1",706792.80,3971238.50,"tract","10012",44,1,"85",1,"R","U","LOpe","PRS 10C","M","F",10.40,"Y","Bowl, rim. PRS ware, form 10B-C. D. 28 cm, H. 2.5 cm. Very fine and soft fabric (2.5YR 6/6), scarce amount of small white and yellow inclusions. A thin red slip is partially present on the surface.","PRS fabric",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
"10012-48-1-45-1",706743.20,3971194.90,"tract","10012",48,1,"45",1,"B","U","JCon","LRA 2","M","M",4.80,"Y","LRA 2; Finely ridged exterior","LRA 2 fabric",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
"10012-48-1-45-2",706749.90,3971196.10,"tract","10012",48,1,"45",2,"B","U","JCon","LRA 2","M","M",4.20,"Y","LRA 2; Finely ridged exterior","LRA 2 fabric",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
"10012-48-1-45-3",706746.20,3971196.80,"tract","10012",48,1,"45",3,"B","U","JCon","LRA 2","M","F",3.30,"Y","LRA 2;Finely ridged exterior","LRA 2 fabric",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
"10012-48-1-45-4",706748.20,3971195.30,"tract","10012",48,1,"45",4,"Ba","U","U","U","M","M",8.00,"Y","Coarseware; Unsmoothed interior",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,50
"10012-48-1-45-5",706746.40,3971195.90,"tract","10012",48,1,"45",5,"H","HV","JCon","LRA 1-2?","M","M",10.10,"Y","LRA 1-2? Attached to body","LRA 1-2 fabric",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
"10012-48-1-5-1",706709.60,3971195.80,"tract","10012",48,1,"5",1,"B","U","JCon","LRA 2","M","M",4.20,"Y","LRA 2; Finely ridged exterior","LRA 2 fabric?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
"10012-48-1-5-2",706705.80,3971196.40,"tract","10012",48,1,"5",2,"B","U","JCon","LRA 2","Tk","M",3.20,"Y","LRA 2; Finely ridged exterior","LRA 2 fabric?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
"10012-48-1-5-3",706702.60,3971196.10,"tract","10012",48,1,"5",3,"B","U","JCon","LRA 2","Tn","M",6.00,"Y","LRA 2; exterior combed and smooth","LRA 2 fabric?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
"10012-48-1-5-4",706710.50,3971196.60,"tract","10012",48,1,"5",4,"B","U","CPot","U","Tn","M",2.80,"Y","Cooking ware; Faint exterior ridges/ribbing; blackened",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,50
"10012-48-1-5-5",706708.60,3971195.90,"tract","10012",48,1,"5",5,"B","U","JCon","LRA?","M","M",2.50,"Y","LRA? Wide horizontal ridges. Thin walled, large calcite inclusions.",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
"10012-48-1-5-6",706706.80,3971195.30,"tract","10012",48,1,"5",6,"B","U","JCon","LRA 2","M","M",5.00,"Y","LRA 2; Finely ridged exterior","LRA 2 fabric?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
"10012-48-1-5-7",706702.00,3971195.70,"tract","10012",48,1,"5",7,"R","U","LOpe","PRS 3A","M","F",5.20,"Y","LRC type 3A; red slip on interior and exterior","PRS fabric",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
"10012-60-1-55-1",706756.40,3971224.90,"tract","10012",60,1,"55",1,"H","HV","JCon","LRA 1?","M","C",9.30,"Y","LRA 1?Attached to body; fluting","LRA fabric",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
"10012-60-1-85-1",706787.60,3971223.70,"tract","10012",60,1,"85",1,"B","U","JCon","LRA 2","M","F",4.60,"Y","LRA 2; Finely ridged exterior","LRA 2 fabric",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
"10012-60-1-85-2",706790.40,3971224.00,"tract","10012",60,1,"85",2,"R","U","LOpe","PRS 10","M","F",8.60,"Y","LRC type 10; large diameter","LRA fabric?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
"10018-44-1-65-1",706478.30,3971376.50,"tract","10018",44,1,"65",1,"B","U","JCon?","LRA 2?","M","M",3.70,"Y","LRA 2? Joint with 2; Finely ridged exterior","LRA 2 fabric",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
"10018-44-1-65-2",706483.00,3971377.50,"tract","10018",44,1,"65",2,"B","U","JCon","LRA 2?","M","M",9.30,"Y","LRA 2? Joint with 1; Finely ridged exterior","LRA 2 fabric",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
